movie_id,movie_name,year,tags,overview,rating,director,cast
tt9304360,Ayogya,2019,"Tamil, Cop Drama, One-Person Army Action, Action, Crime, Drama",A corrupt police officer finds his life changing when he takes on a case of gang rape.,6.1,Venkat Mohan,"Vishal, Parthiban Radhakrishnan, K.S. Ravikumar, Raashi Khanna, Pooja Devariya"
tt11042658,Gantumoote,2019,"Kannada, Drama, Romance","A 16-year-old girl embarks on a journey of life where she deals with understanding herself, the changing world, bullying, academic pressure and her transcending journey of first love.",8.0,Roopa Rao,"Karthik Achari, Aryan, Pruthvi Banwasi, Teju Belawadi, Chandrashekar"
tt10334624,Aruvam,2019,"Tamil, Comedy, Horror","A woman who doesn't like harming even an ant is possessed with the ghost of the man who loves her, which wants to take revenge on the corrupt men who murdered him.",4.7,Sai Sekhar,"Siddharth, Catherine Tresa, Kabir Duhan Singh, Sathish, Aadukalam Naren"
tt8081566,Vijay Superum Pournamiyum,2019,"Malayalam, Comedy, Drama","A young engineering student dreams of becoming a chef, much to the dismay of his family.",7.1,Jis Joy,"Asif Ali, Aishwarya Lekshmi, Siddique, Renji Panicker, Balu Varghese"
tt7537738,Mamangam: History of the Brave,2019,"Malayalam, Action, Drama, History, War","During the Mamangam festival held at the banks of Bharathappuzha in Thirunavaya, soldiers from various places used to come together to wager battle.",5.2,M. Padmakumar,"Mammootty, Unni Mukundan, Achuthan B. Nair, Siddique, Prachi Tehlan"
tt10834986,Gumnaami,2019,"Bengali, Action, Drama, History, Mystery",Gumnaami is a film based on the Mukherjee Commission Hearings which happened from 1999 to 2005 where the three theories about Netaji Subhas Chandra Bose's death were discussed and debated.,7.8,Srijit Mukherji,"Prosenjit Chatterjee, Anirban Bhattacharya, Tanushree Chakraborty, Sanjay Gurbaxani, Akshay Kapoor"
tt9077038,Monster,2019,"Tamil, Comedy, Drama, Family, Fantasy","To overcome tenancy issues, Anjanam buys his own house, which brings him the love of his life. But it doesn't stay long, as there is a new trouble in house. Was he able to marry his girlfriend and live peacefully in his home?",6.7,Nelson Venkatesan,"S.J. Suryah, Priya Bhavani Shankar, Karunakaran, Cheenu Mohan, Anil Kumar"
tt10632744,"I Am Alone, So Are You...",2019,"Hindi, Road Trip, Romance","A gay boy, a lesbian girl, and a road trip from New Delhi to Himachal that helps them discover the love in friendship.",4.8,Harish Vyas,"Anshuman Jha, Zareen Khan, Gurfateh Pirzada, Prabhleen Kaur, Jhanvi Rawat"
tt7884228,NTR Kathanayakudu,2019,"Telugu, Biography","Based on the journey of the legendary Telugu actor, filmmaker and ex-Chief Minister Late Taraka Rama Rao Nandamuri.",5.8,Radha Krishna Jagarlamudi,"Nandamuri Balakrishna, Vidya Balan, Kaikala Satyanarayana, Nandamuri Kalyan Ram, Rana Daggubati"
tt8042132,Kaalidas,2019,"Tamil, Action, Crime, Mystery","A cop, who suffers from family issues, takes up a peculiar suicide case. The plot thickens as similar cases get reported within a span of a few days.",6.7,Sri Senthil,"Bharath Srinivasan, Suresh Chandra Menon, Aadhav Kannadasan, Ann Sheetal, Velraj"
